NRO.,NRO. RESOLUCIÓN,FECHA DE EMISIÓN,SOLICITUD,FECHA SOLICITUD,NOMBRE DE LA ORGANIZACIÓN,PROVINCIA,PEDIDO_UNIFICADO
111,SGDPN-DRCPN-2025-0510-R,2025-07-17 00:00:00,SGDPN-OTZ4-2024-0110-M,2025-08-01 00:00:00,FUNDACIÓN MONTUBIA CULTURAL RAÍCES ANCESTRALES VIVAS DEL ECUADOR “FUMCRAVE”,MANABÍ,SGDPN-OTZ4-2024-0110-M
112,SGDPN-DRCPN-2025-0528-R,2025-07-21 00:00:00,SGDPN-SGDPN-2023-2908-E ,2023-10-17 00:00:00,COMUNIDAD SANTO DOMINGO,IMBABURA,SGDPN-SGDPN-2023-2908-E 
113,SGDPN-DRCPN-2025-0551-R,2025-07-25 00:00:00,SGDPN-SGDPN-2025-2065-E,2025-06-11 00:00:00,ORGANIZACIÓN DE MUJERES DE AGRICULTURA FAMILIAR SAN IGNACIO,COTOPAXI,SGDPN-SGDPN-2025-2065-E
114,SGDPN-DRCPN-2025-0552-R,2025-07-25 00:00:00,SGDPN-SGDPN-2025-2695-E,2025-07-09 00:00:00,ORGANIZACIÓN DE MUJERES LÍDERES DEL PUEBLO TOMABELA MOLIPUT,TUNGURAHUA,SGDPN-SGDPN-2025-2695-E
115,SGDPN-DRCPN-2025-0563-R,2025-07-29 00:00:00,SGDPN-SGDPN-2024-3742-E,2024-12-16 00:00:00,FUNDACION GRUPO AYUDAR “FGA”,PICHINCHA,SGDPN-SGDPN-2024-3742-E
116,SGDPN-DRCPN-2025-0571-R,2025-07-29 00:00:00,SGDPN-SGDPN-2025-0599-E,2025-02-24 00:00:00,FUNDACION CAMINANDO JUNTOS “FCJ”,COTOPAXI,SGDPN-SGDPN-2025-0599-E
117,SGDPN-DRCPN-2025-0579-R,2025-08-01 00:00:00,SGDPN-OTZ3-2025-0084-E,2025-04-29 00:00:00,COMUNIDAD AGUA SANTA DOS,MORONA SANTIAGO,SGDPN-OTZ3-2025-0084-E
118,SGDPN-DRCPN-2025-0620-R,2025-08-13 00:00:00,SGDPN-SGDPN-2025-2070-E,2025-06-11 00:00:00,FUNDACIÓN DE DESARROLLO INTERCOMUNITARIO “SARITA”,TUNGURAHUA,SGDPN-SGDPN-2025-2070-E
119,SGDPN-DRCPN-2025-0628-R,2025-08-14 00:00:00,SGDPN-SGDPN-2024-2323-E,2024-08-08 00:00:00,"COMUNIDAD KICHWA ""PAKAY CHIKTA"" DE AHUANO",DESISTIMIENTO,SGDPN-SGDPN-2024-2323-E
120,SGDPN-DRCPN-2025-0637-R,2025-08-19 00:00:00,SGDPN-SGDPN-2025-2732-E,2025-07-09 00:00:00,ORGANIZACIÓN DE DEPORTISTAS ANCESTRALES DE LA REGIÓN AMAZÓNICA DEL ECUADOR,PASTAZA,SGDPN-SGDPN-2025-2732-E
121,SGDPN-DRCPN-2025-0639-R,2025-08-21 00:00:00,SGDPN-SGDPN-2025-3184-E,2025-08-15 00:00:00,COMUNIDAD KICHWA IMBAYAS,IMBABURA,SGDPN-SGDPN-2025-3184-E
122,SGDPN-DRCPN-2025-0646-R,2025-08-26 00:00:00,SGDPN-SGDPN-2025-0402-E,2025-02-06 00:00:00,ASOCIACIÓN “CULTURAL DE MUJERES DIGNAS Y EMPODERADAS”,DESISTIMIENTO,SGDPN-SGDPN-2025-0402-E
123,SGDPN-DRCPN-2025-0658-R,2025-08-27 00:00:00,SGDPN-SGDPN -2025-1774-E,2025-05-26 00:00:00,ASOCIACIÓN MONTUBIA RANCHO,GUAYAS,SGDPN-SGDPN -2025-1774-E
124,SGDPN-DRCPN-2025-0662-R,2025-08-28 00:00:00,SGDPN-OTZ5-2024-0104-E,2024-04-15 00:00:00,ASOCIACIÓN DE DESARROLLO INTEGRAL SAN ANTONIO DE LAS NAVES “ASODISAN”,BOLIVAR,SGDPN-OTZ5-2024-0104-E
125,SGDPN-DRCPN-2025-0676-R,2025-08-29 00:00:00,SGDPN-SGDPN-2025-2097-E ,2025-06-13 00:00:00,PUEBLO SAWATOA,TUNGURAHUA,SGDPN-SGDPN-2025-2097-E 
126,SGDPN-DRCPN-2025-0681-R,2025-08-29 00:00:00,SGDPN-SGDPN-2025-3171-E,2025-08-15 00:00:00,COMITÉ INTERCULTURAL “SUMAK KAWSAY”,PICHINCHA,SGDPN-SGDPN-2025-3171-E
127,SGDPN-DRCPN-2025-0178-R,24//03/2025,SGDPN-SGDPN-2025-0744,2025-03-07 00:00:00,FUNDACION PARA LA SOSTENIBILIDAD INTEGRAL COMUNITARIA “FUNSOSCOM”,PICHINCHA,SGDPN-SGDPN-2025-0744
